group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
APL,apl,30_0.4_215,215,elements,9631184.0,ns,169
APL,apl,30_0.4_215,215,elements,19202105.0,ns,338
APL,apl,30_0.4_215,215,elements,28800204.0,ns,507
APL,apl,30_0.4_215,215,elements,38423900.0,ns,676
APL,apl,30_0.4_215,215,elements,48025886.0,ns,845
APL,apl,30_0.4_215,215,elements,57686140.0,ns,1014
APL,apl,30_0.4_215,215,elements,67264731.0,ns,1183
APL,apl,30_0.4_215,215,elements,76877475.0,ns,1352
APL,apl,30_0.4_215,215,elements,86511698.0,ns,1521
APL,apl,30_0.4_215,215,elements,96031861.0,ns,1690
APL,apl,30_0.4_215,215,elements,105759226.0,ns,1859
APL,apl,30_0.4_215,215,elements,115262662.0,ns,2028
APL,apl,30_0.4_215,215,elements,124875464.0,ns,2197
APL,apl,30_0.4_215,215,elements,134470215.0,ns,2366
APL,apl,30_0.4_215,215,elements,144142895.0,ns,2535
APL,apl,30_0.4_215,215,elements,153732328.0,ns,2704
APL,apl,30_0.4_215,215,elements,163612850.0,ns,2873
APL,apl,30_0.4_215,215,elements,172931552.0,ns,3042
APL,apl,30_0.4_215,215,elements,182387178.0,ns,3211
APL,apl,30_0.4_215,215,elements,192312755.0,ns,3380
APL,apl,30_0.4_215,215,elements,201625894.0,ns,3549
APL,apl,30_0.4_215,215,elements,211414632.0,ns,3718
APL,apl,30_0.4_215,215,elements,221075742.0,ns,3887
APL,apl,30_0.4_215,215,elements,230381082.0,ns,4056
APL,apl,30_0.4_215,215,elements,240041176.0,ns,4225
APL,apl,30_0.4_215,215,elements,249720598.0,ns,4394
APL,apl,30_0.4_215,215,elements,259264360.0,ns,4563
APL,apl,30_0.4_215,215,elements,268990119.0,ns,4732
APL,apl,30_0.4_215,215,elements,278649777.0,ns,4901
APL,apl,30_0.4_215,215,elements,288121855.0,ns,5070
