group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
APL,apl,70_0.2_5402,5402,elements,11027497.0,ns,16
APL,apl,70_0.2_5402,5402,elements,22002097.0,ns,32
APL,apl,70_0.2_5402,5402,elements,33007871.0,ns,48
APL,apl,70_0.2_5402,5402,elements,44028058.0,ns,64
APL,apl,70_0.2_5402,5402,elements,55026190.0,ns,80
APL,apl,70_0.2_5402,5402,elements,66032426.0,ns,96
APL,apl,70_0.2_5402,5402,elements,77043326.0,ns,112
APL,apl,70_0.2_5402,5402,elements,88077879.0,ns,128
APL,apl,70_0.2_5402,5402,elements,99031915.0,ns,144
APL,apl,70_0.2_5402,5402,elements,110078327.0,ns,160
APL,apl,70_0.2_5402,5402,elements,121044266.0,ns,176
APL,apl,70_0.2_5402,5402,elements,132065068.0,ns,192
APL,apl,70_0.2_5402,5402,elements,143068825.0,ns,208
APL,apl,70_0.2_5402,5402,elements,154096760.0,ns,224
APL,apl,70_0.2_5402,5402,elements,165113965.0,ns,240
APL,apl,70_0.2_5402,5402,elements,176127833.0,ns,256
APL,apl,70_0.2_5402,5402,elements,187114341.0,ns,272
APL,apl,70_0.2_5402,5402,elements,198140957.0,ns,288
APL,apl,70_0.2_5402,5402,elements,209043061.0,ns,304
APL,apl,70_0.2_5402,5402,elements,220123451.0,ns,320
APL,apl,70_0.2_5402,5402,elements,231289302.0,ns,336
APL,apl,70_0.2_5402,5402,elements,242358941.0,ns,352
APL,apl,70_0.2_5402,5402,elements,253249523.0,ns,368
APL,apl,70_0.2_5402,5402,elements,264038467.0,ns,384
APL,apl,70_0.2_5402,5402,elements,275113231.0,ns,400
APL,apl,70_0.2_5402,5402,elements,286060310.0,ns,416
APL,apl,70_0.2_5402,5402,elements,297134504.0,ns,432
APL,apl,70_0.2_5402,5402,elements,308133343.0,ns,448
APL,apl,70_0.2_5402,5402,elements,319138742.0,ns,464
APL,apl,70_0.2_5402,5402,elements,330231217.0,ns,480
