group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
APL,compact_hyperLogLog,30_0.8_1256,1256,elements,10117367.0,ns,45
APL,compact_hyperLogLog,30_0.8_1256,1256,elements,20221654.0,ns,90
APL,compact_hyperLogLog,30_0.8_1256,1256,elements,30302057.0,ns,135
APL,compact_hyperLogLog,30_0.8_1256,1256,elements,40418998.0,ns,180
APL,compact_hyperLogLog,30_0.8_1256,1256,elements,50387918.0,ns,225
APL,compact_hyperLogLog,30_0.8_1256,1256,elements,60473048.0,ns,270
APL,compact_hyperLogLog,30_0.8_1256,1256,elements,70572243.0,ns,315
APL,compact_hyperLogLog,30_0.8_1256,1256,elements,80684603.0,ns,360
APL,compact_hyperLogLog,30_0.8_1256,1256,elements,90675529.0,ns,405
APL,compact_hyperLogLog,30_0.8_1256,1256,elements,100877601.0,ns,450
APL,compact_hyperLogLog,30_0.8_1256,1256,elements,110809655.0,ns,495
APL,compact_hyperLogLog,30_0.8_1256,1256,elements,120906087.0,ns,540
APL,compact_hyperLogLog,30_0.8_1256,1256,elements,131121120.0,ns,585
APL,compact_hyperLogLog,30_0.8_1256,1256,elements,141211685.0,ns,630
APL,compact_hyperLogLog,30_0.8_1256,1256,elements,151358090.0,ns,675
APL,compact_hyperLogLog,30_0.8_1256,1256,elements,161513256.0,ns,720
APL,compact_hyperLogLog,30_0.8_1256,1256,elements,171600803.0,ns,765
APL,compact_hyperLogLog,30_0.8_1256,1256,elements,181765978.0,ns,810
APL,compact_hyperLogLog,30_0.8_1256,1256,elements,191788115.0,ns,855
APL,compact_hyperLogLog,30_0.8_1256,1256,elements,201870320.0,ns,900
APL,compact_hyperLogLog,30_0.8_1256,1256,elements,211933895.0,ns,945
APL,compact_hyperLogLog,30_0.8_1256,1256,elements,222028902.0,ns,990
APL,compact_hyperLogLog,30_0.8_1256,1256,elements,232528967.0,ns,1035
APL,compact_hyperLogLog,30_0.8_1256,1256,elements,242193325.0,ns,1080
APL,compact_hyperLogLog,30_0.8_1256,1256,elements,252399978.0,ns,1125
APL,compact_hyperLogLog,30_0.8_1256,1256,elements,262745973.0,ns,1170
APL,compact_hyperLogLog,30_0.8_1256,1256,elements,272813312.0,ns,1215
APL,compact_hyperLogLog,30_0.8_1256,1256,elements,282628295.0,ns,1260
APL,compact_hyperLogLog,30_0.8_1256,1256,elements,292873027.0,ns,1305
APL,compact_hyperLogLog,30_0.8_1256,1256,elements,302964749.0,ns,1350
