group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
APL,compact_hyperLogLog,70_0.6_6327,6327,elements,9872668.0,ns,10
APL,compact_hyperLogLog,70_0.6_6327,6327,elements,20739177.0,ns,20
APL,compact_hyperLogLog,70_0.6_6327,6327,elements,31671437.0,ns,30
APL,compact_hyperLogLog,70_0.6_6327,6327,elements,41516511.0,ns,40
APL,compact_hyperLogLog,70_0.6_6327,6327,elements,50801402.0,ns,50
APL,compact_hyperLogLog,70_0.6_6327,6327,elements,61966967.0,ns,60
APL,compact_hyperLogLog,70_0.6_6327,6327,elements,72884069.0,ns,70
APL,compact_hyperLogLog,70_0.6_6327,6327,elements,82677933.0,ns,80
APL,compact_hyperLogLog,70_0.6_6327,6327,elements,93396386.0,ns,90
APL,compact_hyperLogLog,70_0.6_6327,6327,elements,102401076.0,ns,100
APL,compact_hyperLogLog,70_0.6_6327,6327,elements,112793717.0,ns,110
APL,compact_hyperLogLog,70_0.6_6327,6327,elements,124793481.0,ns,120
APL,compact_hyperLogLog,70_0.6_6327,6327,elements,132311494.0,ns,130
APL,compact_hyperLogLog,70_0.6_6327,6327,elements,144427925.0,ns,140
APL,compact_hyperLogLog,70_0.6_6327,6327,elements,152500542.0,ns,150
APL,compact_hyperLogLog,70_0.6_6327,6327,elements,163930397.0,ns,160
APL,compact_hyperLogLog,70_0.6_6327,6327,elements,174813430.0,ns,170
APL,compact_hyperLogLog,70_0.6_6327,6327,elements,186722594.0,ns,180
APL,compact_hyperLogLog,70_0.6_6327,6327,elements,198415667.0,ns,190
APL,compact_hyperLogLog,70_0.6_6327,6327,elements,206380592.0,ns,200
APL,compact_hyperLogLog,70_0.6_6327,6327,elements,219429835.0,ns,210
APL,compact_hyperLogLog,70_0.6_6327,6327,elements,229752295.0,ns,220
APL,compact_hyperLogLog,70_0.6_6327,6327,elements,239177444.0,ns,230
APL,compact_hyperLogLog,70_0.6_6327,6327,elements,245797466.0,ns,240
APL,compact_hyperLogLog,70_0.6_6327,6327,elements,261216508.0,ns,250
APL,compact_hyperLogLog,70_0.6_6327,6327,elements,269492306.0,ns,260
APL,compact_hyperLogLog,70_0.6_6327,6327,elements,279335702.0,ns,270
APL,compact_hyperLogLog,70_0.6_6327,6327,elements,287541850.0,ns,280
APL,compact_hyperLogLog,70_0.6_6327,6327,elements,295899513.0,ns,290
APL,compact_hyperLogLog,70_0.6_6327,6327,elements,308193968.0,ns,300
