group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Clustering Coef,adj,16047748_10_2,16047748,elements,10846390.0,ns,26304
Clustering Coef,adj,16047748_10_2,16047748,elements,21438762.0,ns,52608
Clustering Coef,adj,16047748_10_2,16047748,elements,32178091.0,ns,78912
Clustering Coef,adj,16047748_10_2,16047748,elements,43075331.0,ns,105216
Clustering Coef,adj,16047748_10_2,16047748,elements,53715766.0,ns,131520
Clustering Coef,adj,16047748_10_2,16047748,elements,64474473.0,ns,157824
Clustering Coef,adj,16047748_10_2,16047748,elements,75244369.0,ns,184128
Clustering Coef,adj,16047748_10_2,16047748,elements,85883009.0,ns,210432
Clustering Coef,adj,16047748_10_2,16047748,elements,96640309.0,ns,236736
Clustering Coef,adj,16047748_10_2,16047748,elements,107425535.0,ns,263040
Clustering Coef,adj,16047748_10_2,16047748,elements,118045840.0,ns,289344
Clustering Coef,adj,16047748_10_2,16047748,elements,129093696.0,ns,315648
Clustering Coef,adj,16047748_10_2,16047748,elements,139461674.0,ns,341952
Clustering Coef,adj,16047748_10_2,16047748,elements,150704091.0,ns,368256
Clustering Coef,adj,16047748_10_2,16047748,elements,158950319.0,ns,394560
Clustering Coef,adj,16047748_10_2,16047748,elements,168157210.0,ns,420864
Clustering Coef,adj,16047748_10_2,16047748,elements,178645140.0,ns,447168
Clustering Coef,adj,16047748_10_2,16047748,elements,189253442.0,ns,473472
Clustering Coef,adj,16047748_10_2,16047748,elements,199566021.0,ns,499776
Clustering Coef,adj,16047748_10_2,16047748,elements,209986023.0,ns,526080
Clustering Coef,adj,16047748_10_2,16047748,elements,220534269.0,ns,552384
Clustering Coef,adj,16047748_10_2,16047748,elements,231242559.0,ns,578688
Clustering Coef,adj,16047748_10_2,16047748,elements,241645039.0,ns,604992
Clustering Coef,adj,16047748_10_2,16047748,elements,251961974.0,ns,631296
Clustering Coef,adj,16047748_10_2,16047748,elements,262720615.0,ns,657600
Clustering Coef,adj,16047748_10_2,16047748,elements,273171217.0,ns,683904
Clustering Coef,adj,16047748_10_2,16047748,elements,283884122.0,ns,710208
Clustering Coef,adj,16047748_10_2,16047748,elements,294096886.0,ns,736512
Clustering Coef,adj,16047748_10_2,16047748,elements,304822768.0,ns,762816
Clustering Coef,adj,16047748_10_2,16047748,elements,314991271.0,ns,789120
