group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Clustering Coef,adj,4029223_10_5,4029223,elements,10765589.0,ns,24543
Clustering Coef,adj,4029223_10_5,4029223,elements,21500877.0,ns,49086
Clustering Coef,adj,4029223_10_5,4029223,elements,32277367.0,ns,73629
Clustering Coef,adj,4029223_10_5,4029223,elements,42947955.0,ns,98172
Clustering Coef,adj,4029223_10_5,4029223,elements,53775354.0,ns,122715
Clustering Coef,adj,4029223_10_5,4029223,elements,64504187.0,ns,147258
Clustering Coef,adj,4029223_10_5,4029223,elements,75244535.0,ns,171801
Clustering Coef,adj,4029223_10_5,4029223,elements,86158639.0,ns,196344
Clustering Coef,adj,4029223_10_5,4029223,elements,96755321.0,ns,220887
Clustering Coef,adj,4029223_10_5,4029223,elements,107378462.0,ns,245430
Clustering Coef,adj,4029223_10_5,4029223,elements,118239459.0,ns,269973
Clustering Coef,adj,4029223_10_5,4029223,elements,128991669.0,ns,294516
Clustering Coef,adj,4029223_10_5,4029223,elements,139668463.0,ns,319059
Clustering Coef,adj,4029223_10_5,4029223,elements,150462823.0,ns,343602
Clustering Coef,adj,4029223_10_5,4029223,elements,161172923.0,ns,368145
Clustering Coef,adj,4029223_10_5,4029223,elements,171952267.0,ns,392688
Clustering Coef,adj,4029223_10_5,4029223,elements,182608309.0,ns,417231
Clustering Coef,adj,4029223_10_5,4029223,elements,193397103.0,ns,441774
Clustering Coef,adj,4029223_10_5,4029223,elements,204141052.0,ns,466317
Clustering Coef,adj,4029223_10_5,4029223,elements,215040858.0,ns,490860
Clustering Coef,adj,4029223_10_5,4029223,elements,225643132.0,ns,515403
Clustering Coef,adj,4029223_10_5,4029223,elements,236591504.0,ns,539946
Clustering Coef,adj,4029223_10_5,4029223,elements,247170751.0,ns,564489
Clustering Coef,adj,4029223_10_5,4029223,elements,257829777.0,ns,589032
Clustering Coef,adj,4029223_10_5,4029223,elements,268961792.0,ns,613575
Clustering Coef,adj,4029223_10_5,4029223,elements,279378527.0,ns,638118
Clustering Coef,adj,4029223_10_5,4029223,elements,290090122.0,ns,662661
Clustering Coef,adj,4029223_10_5,4029223,elements,300894951.0,ns,687204
Clustering Coef,adj,4029223_10_5,4029223,elements,311655056.0,ns,711747
Clustering Coef,adj,4029223_10_5,4029223,elements,322527236.0,ns,736290
