group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Clustering Coef,csr,37437_10_50,37437,elements,10794334.0,ns,9876
Clustering Coef,csr,37437_10_50,37437,elements,21502110.0,ns,19752
Clustering Coef,csr,37437_10_50,37437,elements,32124641.0,ns,29628
Clustering Coef,csr,37437_10_50,37437,elements,42517706.0,ns,39504
Clustering Coef,csr,37437_10_50,37437,elements,53251302.0,ns,49380
Clustering Coef,csr,37437_10_50,37437,elements,64290510.0,ns,59256
Clustering Coef,csr,37437_10_50,37437,elements,74697329.0,ns,69132
Clustering Coef,csr,37437_10_50,37437,elements,86149591.0,ns,79008
Clustering Coef,csr,37437_10_50,37437,elements,96125932.0,ns,88884
Clustering Coef,csr,37437_10_50,37437,elements,107335558.0,ns,98760
Clustering Coef,csr,37437_10_50,37437,elements,117508351.0,ns,108636
Clustering Coef,csr,37437_10_50,37437,elements,127990172.0,ns,118512
Clustering Coef,csr,37437_10_50,37437,elements,139312886.0,ns,128388
Clustering Coef,csr,37437_10_50,37437,elements,149213667.0,ns,138264
Clustering Coef,csr,37437_10_50,37437,elements,159601243.0,ns,148140
Clustering Coef,csr,37437_10_50,37437,elements,171608121.0,ns,158016
Clustering Coef,csr,37437_10_50,37437,elements,181513973.0,ns,167892
Clustering Coef,csr,37437_10_50,37437,elements,193268158.0,ns,177768
Clustering Coef,csr,37437_10_50,37437,elements,202278615.0,ns,187644
Clustering Coef,csr,37437_10_50,37437,elements,214559029.0,ns,197520
Clustering Coef,csr,37437_10_50,37437,elements,224987935.0,ns,207396
Clustering Coef,csr,37437_10_50,37437,elements,234899696.0,ns,217272
Clustering Coef,csr,37437_10_50,37437,elements,246675355.0,ns,227148
Clustering Coef,csr,37437_10_50,37437,elements,256868089.0,ns,237024
Clustering Coef,csr,37437_10_50,37437,elements,267661121.0,ns,246900
Clustering Coef,csr,37437_10_50,37437,elements,277839336.0,ns,256776
Clustering Coef,csr,37437_10_50,37437,elements,288490121.0,ns,266652
Clustering Coef,csr,37437_10_50,37437,elements,299027196.0,ns,276528
Clustering Coef,csr,37437_10_50,37437,elements,311075139.0,ns,286404
Clustering Coef,csr,37437_10_50,37437,elements,321843371.0,ns,296280
