group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Clustering Coef,csr,54811_10_8,54811,elements,10848518.0,ns,19433
Clustering Coef,csr,54811_10_8,54811,elements,21652757.0,ns,38866
Clustering Coef,csr,54811_10_8,54811,elements,32215578.0,ns,58299
Clustering Coef,csr,54811_10_8,54811,elements,42944083.0,ns,77732
Clustering Coef,csr,54811_10_8,54811,elements,53677112.0,ns,97165
Clustering Coef,csr,54811_10_8,54811,elements,64421079.0,ns,116598
Clustering Coef,csr,54811_10_8,54811,elements,75169779.0,ns,136031
Clustering Coef,csr,54811_10_8,54811,elements,85903099.0,ns,155464
Clustering Coef,csr,54811_10_8,54811,elements,96630469.0,ns,174897
Clustering Coef,csr,54811_10_8,54811,elements,108210324.0,ns,194330
Clustering Coef,csr,54811_10_8,54811,elements,118132117.0,ns,213763
Clustering Coef,csr,54811_10_8,54811,elements,128878023.0,ns,233196
Clustering Coef,csr,54811_10_8,54811,elements,139584739.0,ns,252629
Clustering Coef,csr,54811_10_8,54811,elements,150341204.0,ns,272062
Clustering Coef,csr,54811_10_8,54811,elements,161258885.0,ns,291495
Clustering Coef,csr,54811_10_8,54811,elements,171822637.0,ns,310928
Clustering Coef,csr,54811_10_8,54811,elements,182709743.0,ns,330361
Clustering Coef,csr,54811_10_8,54811,elements,193221256.0,ns,349794
Clustering Coef,csr,54811_10_8,54811,elements,203977149.0,ns,369227
Clustering Coef,csr,54811_10_8,54811,elements,214717598.0,ns,388660
Clustering Coef,csr,54811_10_8,54811,elements,226540200.0,ns,408093
Clustering Coef,csr,54811_10_8,54811,elements,236177777.0,ns,427526
Clustering Coef,csr,54811_10_8,54811,elements,246922114.0,ns,446959
Clustering Coef,csr,54811_10_8,54811,elements,257673724.0,ns,466392
Clustering Coef,csr,54811_10_8,54811,elements,268400685.0,ns,485825
Clustering Coef,csr,54811_10_8,54811,elements,279082619.0,ns,505258
Clustering Coef,csr,54811_10_8,54811,elements,289854970.0,ns,524691
Clustering Coef,csr,54811_10_8,54811,elements,300560207.0,ns,544124
Clustering Coef,csr,54811_10_8,54811,elements,311311675.0,ns,563557
Clustering Coef,csr,54811_10_8,54811,elements,322023546.0,ns,582990
