group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
MinCut,fast_karger_stein PathCompression,60_0.6_1103,1103,elements,12877769.0,ns,2
MinCut,fast_karger_stein PathCompression,60_0.6_1103,1103,elements,25734362.0,ns,4
MinCut,fast_karger_stein PathCompression,60_0.6_1103,1103,elements,38616822.0,ns,6
MinCut,fast_karger_stein PathCompression,60_0.6_1103,1103,elements,51667366.0,ns,8
MinCut,fast_karger_stein PathCompression,60_0.6_1103,1103,elements,64494340.0,ns,10
MinCut,fast_karger_stein PathCompression,60_0.6_1103,1103,elements,77377851.0,ns,12
MinCut,fast_karger_stein PathCompression,60_0.6_1103,1103,elements,90338927.0,ns,14
MinCut,fast_karger_stein PathCompression,60_0.6_1103,1103,elements,103217930.0,ns,16
MinCut,fast_karger_stein PathCompression,60_0.6_1103,1103,elements,116230822.0,ns,18
MinCut,fast_karger_stein PathCompression,60_0.6_1103,1103,elements,129232512.0,ns,20
MinCut,fast_karger_stein PathCompression,60_0.6_1103,1103,elements,142076888.0,ns,22
MinCut,fast_karger_stein PathCompression,60_0.6_1103,1103,elements,154907019.0,ns,24
MinCut,fast_karger_stein PathCompression,60_0.6_1103,1103,elements,167907800.0,ns,26
MinCut,fast_karger_stein PathCompression,60_0.6_1103,1103,elements,180661586.0,ns,28
MinCut,fast_karger_stein PathCompression,60_0.6_1103,1103,elements,193715633.0,ns,30
MinCut,fast_karger_stein PathCompression,60_0.6_1103,1103,elements,206683161.0,ns,32
MinCut,fast_karger_stein PathCompression,60_0.6_1103,1103,elements,219539334.0,ns,34
MinCut,fast_karger_stein PathCompression,60_0.6_1103,1103,elements,232088797.0,ns,36
MinCut,fast_karger_stein PathCompression,60_0.6_1103,1103,elements,244790019.0,ns,38
MinCut,fast_karger_stein PathCompression,60_0.6_1103,1103,elements,258327256.0,ns,40
MinCut,fast_karger_stein PathCompression,60_0.6_1103,1103,elements,271050802.0,ns,42
MinCut,fast_karger_stein PathCompression,60_0.6_1103,1103,elements,283823050.0,ns,44
MinCut,fast_karger_stein PathCompression,60_0.6_1103,1103,elements,296723764.0,ns,46
MinCut,fast_karger_stein PathCompression,60_0.6_1103,1103,elements,309615089.0,ns,48
MinCut,fast_karger_stein PathCompression,60_0.6_1103,1103,elements,322945260.0,ns,50
MinCut,fast_karger_stein PathCompression,60_0.6_1103,1103,elements,335974336.0,ns,52
MinCut,fast_karger_stein PathCompression,60_0.6_1103,1103,elements,348697076.0,ns,54
MinCut,fast_karger_stein PathCompression,60_0.6_1103,1103,elements,361279815.0,ns,56
MinCut,fast_karger_stein PathCompression,60_0.6_1103,1103,elements,373810596.0,ns,58
MinCut,fast_karger_stein PathCompression,60_0.6_1103,1103,elements,386420639.0,ns,60
