group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
MinCut,fast_karger_stein PathCompression,60_0.8_1460,1460,elements,17546199.0,ns,2
MinCut,fast_karger_stein PathCompression,60_0.8_1460,1460,elements,35137733.0,ns,4
MinCut,fast_karger_stein PathCompression,60_0.8_1460,1460,elements,52518007.0,ns,6
MinCut,fast_karger_stein PathCompression,60_0.8_1460,1460,elements,69972132.0,ns,8
MinCut,fast_karger_stein PathCompression,60_0.8_1460,1460,elements,87625837.0,ns,10
MinCut,fast_karger_stein PathCompression,60_0.8_1460,1460,elements,103063984.0,ns,12
MinCut,fast_karger_stein PathCompression,60_0.8_1460,1460,elements,120429036.0,ns,14
MinCut,fast_karger_stein PathCompression,60_0.8_1460,1460,elements,137720358.0,ns,16
MinCut,fast_karger_stein PathCompression,60_0.8_1460,1460,elements,154768061.0,ns,18
MinCut,fast_karger_stein PathCompression,60_0.8_1460,1460,elements,171828096.0,ns,20
MinCut,fast_karger_stein PathCompression,60_0.8_1460,1460,elements,189040296.0,ns,22
MinCut,fast_karger_stein PathCompression,60_0.8_1460,1460,elements,206213672.0,ns,24
MinCut,fast_karger_stein PathCompression,60_0.8_1460,1460,elements,223606503.0,ns,26
MinCut,fast_karger_stein PathCompression,60_0.8_1460,1460,elements,240518778.0,ns,28
MinCut,fast_karger_stein PathCompression,60_0.8_1460,1460,elements,257644384.0,ns,30
MinCut,fast_karger_stein PathCompression,60_0.8_1460,1460,elements,274996961.0,ns,32
MinCut,fast_karger_stein PathCompression,60_0.8_1460,1460,elements,292213954.0,ns,34
MinCut,fast_karger_stein PathCompression,60_0.8_1460,1460,elements,309254949.0,ns,36
MinCut,fast_karger_stein PathCompression,60_0.8_1460,1460,elements,326391673.0,ns,38
MinCut,fast_karger_stein PathCompression,60_0.8_1460,1460,elements,343385857.0,ns,40
MinCut,fast_karger_stein PathCompression,60_0.8_1460,1460,elements,361126410.0,ns,42
MinCut,fast_karger_stein PathCompression,60_0.8_1460,1460,elements,378004590.0,ns,44
MinCut,fast_karger_stein PathCompression,60_0.8_1460,1460,elements,395541831.0,ns,46
MinCut,fast_karger_stein PathCompression,60_0.8_1460,1460,elements,412270356.0,ns,48
MinCut,fast_karger_stein PathCompression,60_0.8_1460,1460,elements,429895857.0,ns,50
MinCut,fast_karger_stein PathCompression,60_0.8_1460,1460,elements,446902003.0,ns,52
MinCut,fast_karger_stein PathCompression,60_0.8_1460,1460,elements,463778079.0,ns,54
MinCut,fast_karger_stein PathCompression,60_0.8_1460,1460,elements,481206435.0,ns,56
MinCut,fast_karger_stein PathCompression,60_0.8_1460,1460,elements,498347062.0,ns,58
MinCut,fast_karger_stein PathCompression,60_0.8_1460,1460,elements,515596955.0,ns,60
