group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
MinCut,fast_karger_stein PathHalving,40_0.8_2244,2244,elements,11272786.0,ns,6
MinCut,fast_karger_stein PathHalving,40_0.8_2244,2244,elements,22373411.0,ns,12
MinCut,fast_karger_stein PathHalving,40_0.8_2244,2244,elements,33491274.0,ns,18
MinCut,fast_karger_stein PathHalving,40_0.8_2244,2244,elements,44695845.0,ns,24
MinCut,fast_karger_stein PathHalving,40_0.8_2244,2244,elements,56098131.0,ns,30
MinCut,fast_karger_stein PathHalving,40_0.8_2244,2244,elements,67254200.0,ns,36
MinCut,fast_karger_stein PathHalving,40_0.8_2244,2244,elements,78309704.0,ns,42
MinCut,fast_karger_stein PathHalving,40_0.8_2244,2244,elements,89584527.0,ns,48
MinCut,fast_karger_stein PathHalving,40_0.8_2244,2244,elements,100893482.0,ns,54
MinCut,fast_karger_stein PathHalving,40_0.8_2244,2244,elements,112037299.0,ns,60
MinCut,fast_karger_stein PathHalving,40_0.8_2244,2244,elements,123337296.0,ns,66
MinCut,fast_karger_stein PathHalving,40_0.8_2244,2244,elements,134339304.0,ns,72
MinCut,fast_karger_stein PathHalving,40_0.8_2244,2244,elements,145659475.0,ns,78
MinCut,fast_karger_stein PathHalving,40_0.8_2244,2244,elements,156787044.0,ns,84
MinCut,fast_karger_stein PathHalving,40_0.8_2244,2244,elements,168059207.0,ns,90
MinCut,fast_karger_stein PathHalving,40_0.8_2244,2244,elements,179450894.0,ns,96
MinCut,fast_karger_stein PathHalving,40_0.8_2244,2244,elements,190277414.0,ns,102
MinCut,fast_karger_stein PathHalving,40_0.8_2244,2244,elements,201720911.0,ns,108
MinCut,fast_karger_stein PathHalving,40_0.8_2244,2244,elements,212807731.0,ns,114
MinCut,fast_karger_stein PathHalving,40_0.8_2244,2244,elements,224396619.0,ns,120
MinCut,fast_karger_stein PathHalving,40_0.8_2244,2244,elements,235245402.0,ns,126
MinCut,fast_karger_stein PathHalving,40_0.8_2244,2244,elements,246571889.0,ns,132
MinCut,fast_karger_stein PathHalving,40_0.8_2244,2244,elements,257675357.0,ns,138
MinCut,fast_karger_stein PathHalving,40_0.8_2244,2244,elements,269107952.0,ns,144
MinCut,fast_karger_stein PathHalving,40_0.8_2244,2244,elements,280499828.0,ns,150
MinCut,fast_karger_stein PathHalving,40_0.8_2244,2244,elements,291342953.0,ns,156
MinCut,fast_karger_stein PathHalving,40_0.8_2244,2244,elements,302600467.0,ns,162
MinCut,fast_karger_stein PathHalving,40_0.8_2244,2244,elements,313804230.0,ns,168
MinCut,fast_karger_stein PathHalving,40_0.8_2244,2244,elements,325093574.0,ns,174
MinCut,fast_karger_stein PathHalving,40_0.8_2244,2244,elements,336414958.0,ns,180
