group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
MinCut,fast_karger_stein PathHalving,60_0.8_1460,1460,elements,13562004.0,ns,2
MinCut,fast_karger_stein PathHalving,60_0.8_1460,1460,elements,27239543.0,ns,4
MinCut,fast_karger_stein PathHalving,60_0.8_1460,1460,elements,40801276.0,ns,6
MinCut,fast_karger_stein PathHalving,60_0.8_1460,1460,elements,54298856.0,ns,8
MinCut,fast_karger_stein PathHalving,60_0.8_1460,1460,elements,67927314.0,ns,10
MinCut,fast_karger_stein PathHalving,60_0.8_1460,1460,elements,81836576.0,ns,12
MinCut,fast_karger_stein PathHalving,60_0.8_1460,1460,elements,95530072.0,ns,14
MinCut,fast_karger_stein PathHalving,60_0.8_1460,1460,elements,109298389.0,ns,16
MinCut,fast_karger_stein PathHalving,60_0.8_1460,1460,elements,122706921.0,ns,18
MinCut,fast_karger_stein PathHalving,60_0.8_1460,1460,elements,136399007.0,ns,20
MinCut,fast_karger_stein PathHalving,60_0.8_1460,1460,elements,149998813.0,ns,22
MinCut,fast_karger_stein PathHalving,60_0.8_1460,1460,elements,163637848.0,ns,24
MinCut,fast_karger_stein PathHalving,60_0.8_1460,1460,elements,177186909.0,ns,26
MinCut,fast_karger_stein PathHalving,60_0.8_1460,1460,elements,191404335.0,ns,28
MinCut,fast_karger_stein PathHalving,60_0.8_1460,1460,elements,204633538.0,ns,30
MinCut,fast_karger_stein PathHalving,60_0.8_1460,1460,elements,218613215.0,ns,32
MinCut,fast_karger_stein PathHalving,60_0.8_1460,1460,elements,232127076.0,ns,34
MinCut,fast_karger_stein PathHalving,60_0.8_1460,1460,elements,245880235.0,ns,36
MinCut,fast_karger_stein PathHalving,60_0.8_1460,1460,elements,259424933.0,ns,38
MinCut,fast_karger_stein PathHalving,60_0.8_1460,1460,elements,272859606.0,ns,40
MinCut,fast_karger_stein PathHalving,60_0.8_1460,1460,elements,286359287.0,ns,42
MinCut,fast_karger_stein PathHalving,60_0.8_1460,1460,elements,299629269.0,ns,44
MinCut,fast_karger_stein PathHalving,60_0.8_1460,1460,elements,314004931.0,ns,46
MinCut,fast_karger_stein PathHalving,60_0.8_1460,1460,elements,327288499.0,ns,48
MinCut,fast_karger_stein PathHalving,60_0.8_1460,1460,elements,340732293.0,ns,50
MinCut,fast_karger_stein PathHalving,60_0.8_1460,1460,elements,354280443.0,ns,52
MinCut,fast_karger_stein PathHalving,60_0.8_1460,1460,elements,368135847.0,ns,54
MinCut,fast_karger_stein PathHalving,60_0.8_1460,1460,elements,382148907.0,ns,56
MinCut,fast_karger_stein PathHalving,60_0.8_1460,1460,elements,395415810.0,ns,58
MinCut,fast_karger_stein PathHalving,60_0.8_1460,1460,elements,408910294.0,ns,60
