group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
MinCut,fast_karger_stein PathSplitting,30_0.8_1256,1256,elements,10722358.0,ns,9
MinCut,fast_karger_stein PathSplitting,30_0.8_1256,1256,elements,21189604.0,ns,18
MinCut,fast_karger_stein PathSplitting,30_0.8_1256,1256,elements,32304645.0,ns,27
MinCut,fast_karger_stein PathSplitting,30_0.8_1256,1256,elements,42608383.0,ns,36
MinCut,fast_karger_stein PathSplitting,30_0.8_1256,1256,elements,53559462.0,ns,45
MinCut,fast_karger_stein PathSplitting,30_0.8_1256,1256,elements,63943619.0,ns,54
MinCut,fast_karger_stein PathSplitting,30_0.8_1256,1256,elements,75495853.0,ns,63
MinCut,fast_karger_stein PathSplitting,30_0.8_1256,1256,elements,85615393.0,ns,72
MinCut,fast_karger_stein PathSplitting,30_0.8_1256,1256,elements,96554348.0,ns,81
MinCut,fast_karger_stein PathSplitting,30_0.8_1256,1256,elements,106154519.0,ns,90
MinCut,fast_karger_stein PathSplitting,30_0.8_1256,1256,elements,117646237.0,ns,99
MinCut,fast_karger_stein PathSplitting,30_0.8_1256,1256,elements,128100646.0,ns,108
MinCut,fast_karger_stein PathSplitting,30_0.8_1256,1256,elements,139752555.0,ns,117
MinCut,fast_karger_stein PathSplitting,30_0.8_1256,1256,elements,150077121.0,ns,126
MinCut,fast_karger_stein PathSplitting,30_0.8_1256,1256,elements,160393339.0,ns,135
MinCut,fast_karger_stein PathSplitting,30_0.8_1256,1256,elements,170925574.0,ns,144
MinCut,fast_karger_stein PathSplitting,30_0.8_1256,1256,elements,181143188.0,ns,153
MinCut,fast_karger_stein PathSplitting,30_0.8_1256,1256,elements,193087109.0,ns,162
MinCut,fast_karger_stein PathSplitting,30_0.8_1256,1256,elements,202304629.0,ns,171
MinCut,fast_karger_stein PathSplitting,30_0.8_1256,1256,elements,213017952.0,ns,180
MinCut,fast_karger_stein PathSplitting,30_0.8_1256,1256,elements,224077680.0,ns,189
MinCut,fast_karger_stein PathSplitting,30_0.8_1256,1256,elements,235016811.0,ns,198
MinCut,fast_karger_stein PathSplitting,30_0.8_1256,1256,elements,244740185.0,ns,207
MinCut,fast_karger_stein PathSplitting,30_0.8_1256,1256,elements,256263707.0,ns,216
MinCut,fast_karger_stein PathSplitting,30_0.8_1256,1256,elements,266149716.0,ns,225
MinCut,fast_karger_stein PathSplitting,30_0.8_1256,1256,elements,278895172.0,ns,234
MinCut,fast_karger_stein PathSplitting,30_0.8_1256,1256,elements,288233328.0,ns,243
MinCut,fast_karger_stein PathSplitting,30_0.8_1256,1256,elements,298984047.0,ns,252
MinCut,fast_karger_stein PathSplitting,30_0.8_1256,1256,elements,310269208.0,ns,261
MinCut,fast_karger_stein PathSplitting,30_0.8_1256,1256,elements,320917065.0,ns,270
