group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
MinCut,fast_karger_stein PathSplitting,70_0.8_6813,6813,elements,47812274.0,ns,1
MinCut,fast_karger_stein PathSplitting,70_0.8_6813,6813,elements,95377764.0,ns,2
MinCut,fast_karger_stein PathSplitting,70_0.8_6813,6813,elements,141549429.0,ns,3
MinCut,fast_karger_stein PathSplitting,70_0.8_6813,6813,elements,189062649.0,ns,4
MinCut,fast_karger_stein PathSplitting,70_0.8_6813,6813,elements,231629038.0,ns,5
MinCut,fast_karger_stein PathSplitting,70_0.8_6813,6813,elements,285512796.0,ns,6
MinCut,fast_karger_stein PathSplitting,70_0.8_6813,6813,elements,330633423.0,ns,7
MinCut,fast_karger_stein PathSplitting,70_0.8_6813,6813,elements,378063819.0,ns,8
MinCut,fast_karger_stein PathSplitting,70_0.8_6813,6813,elements,423999932.0,ns,9
MinCut,fast_karger_stein PathSplitting,70_0.8_6813,6813,elements,474535490.0,ns,10
MinCut,fast_karger_stein PathSplitting,70_0.8_6813,6813,elements,522370681.0,ns,11
MinCut,fast_karger_stein PathSplitting,70_0.8_6813,6813,elements,571781753.0,ns,12
MinCut,fast_karger_stein PathSplitting,70_0.8_6813,6813,elements,614478579.0,ns,13
MinCut,fast_karger_stein PathSplitting,70_0.8_6813,6813,elements,664396678.0,ns,14
MinCut,fast_karger_stein PathSplitting,70_0.8_6813,6813,elements,704628691.0,ns,15
MinCut,fast_karger_stein PathSplitting,70_0.8_6813,6813,elements,763189457.0,ns,16
MinCut,fast_karger_stein PathSplitting,70_0.8_6813,6813,elements,800967488.0,ns,17
MinCut,fast_karger_stein PathSplitting,70_0.8_6813,6813,elements,856631240.0,ns,18
MinCut,fast_karger_stein PathSplitting,70_0.8_6813,6813,elements,900451800.0,ns,19
MinCut,fast_karger_stein PathSplitting,70_0.8_6813,6813,elements,945355594.0,ns,20
MinCut,fast_karger_stein PathSplitting,70_0.8_6813,6813,elements,997568647.0,ns,21
MinCut,fast_karger_stein PathSplitting,70_0.8_6813,6813,elements,1042183747.0,ns,22
MinCut,fast_karger_stein PathSplitting,70_0.8_6813,6813,elements,1093209336.0,ns,23
MinCut,fast_karger_stein PathSplitting,70_0.8_6813,6813,elements,1132148935.0,ns,24
MinCut,fast_karger_stein PathSplitting,70_0.8_6813,6813,elements,1184781245.0,ns,25
MinCut,fast_karger_stein PathSplitting,70_0.8_6813,6813,elements,1229378007.0,ns,26
MinCut,fast_karger_stein PathSplitting,70_0.8_6813,6813,elements,1268058329.0,ns,27
MinCut,fast_karger_stein PathSplitting,70_0.8_6813,6813,elements,1321100746.0,ns,28
MinCut,fast_karger_stein PathSplitting,70_0.8_6813,6813,elements,1377640130.0,ns,29
MinCut,fast_karger_stein PathSplitting,70_0.8_6813,6813,elements,1412036146.0,ns,30
