group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
MinCut,karger_stein PathCompression,20_0.6_512,512,elements,10252899.0,ns,70
MinCut,karger_stein PathCompression,20_0.6_512,512,elements,20527091.0,ns,140
MinCut,karger_stein PathCompression,20_0.6_512,512,elements,30836168.0,ns,210
MinCut,karger_stein PathCompression,20_0.6_512,512,elements,41125418.0,ns,280
MinCut,karger_stein PathCompression,20_0.6_512,512,elements,51224339.0,ns,350
MinCut,karger_stein PathCompression,20_0.6_512,512,elements,61626121.0,ns,420
MinCut,karger_stein PathCompression,20_0.6_512,512,elements,71925810.0,ns,490
MinCut,karger_stein PathCompression,20_0.6_512,512,elements,82314225.0,ns,560
MinCut,karger_stein PathCompression,20_0.6_512,512,elements,92491583.0,ns,630
MinCut,karger_stein PathCompression,20_0.6_512,512,elements,102856781.0,ns,700
MinCut,karger_stein PathCompression,20_0.6_512,512,elements,113065522.0,ns,770
MinCut,karger_stein PathCompression,20_0.6_512,512,elements,123349823.0,ns,840
MinCut,karger_stein PathCompression,20_0.6_512,512,elements,133812191.0,ns,910
MinCut,karger_stein PathCompression,20_0.6_512,512,elements,144068962.0,ns,980
MinCut,karger_stein PathCompression,20_0.6_512,512,elements,154529565.0,ns,1050
MinCut,karger_stein PathCompression,20_0.6_512,512,elements,164775357.0,ns,1120
MinCut,karger_stein PathCompression,20_0.6_512,512,elements,175129758.0,ns,1190
MinCut,karger_stein PathCompression,20_0.6_512,512,elements,185755745.0,ns,1260
MinCut,karger_stein PathCompression,20_0.6_512,512,elements,196091407.0,ns,1330
MinCut,karger_stein PathCompression,20_0.6_512,512,elements,206529890.0,ns,1400
MinCut,karger_stein PathCompression,20_0.6_512,512,elements,216832709.0,ns,1470
MinCut,karger_stein PathCompression,20_0.6_512,512,elements,227083206.0,ns,1540
MinCut,karger_stein PathCompression,20_0.6_512,512,elements,237514649.0,ns,1610
MinCut,karger_stein PathCompression,20_0.6_512,512,elements,247726842.0,ns,1680
MinCut,karger_stein PathCompression,20_0.6_512,512,elements,258215012.0,ns,1750
MinCut,karger_stein PathCompression,20_0.6_512,512,elements,269608025.0,ns,1820
MinCut,karger_stein PathCompression,20_0.6_512,512,elements,279882949.0,ns,1890
MinCut,karger_stein PathCompression,20_0.6_512,512,elements,290178759.0,ns,1960
MinCut,karger_stein PathCompression,20_0.6_512,512,elements,300462122.0,ns,2030
MinCut,karger_stein PathCompression,20_0.6_512,512,elements,311256817.0,ns,2100
