group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
MinCut,karger_stein PathCompression,60_0.8_1460,1460,elements,17131286.0,ns,2
MinCut,karger_stein PathCompression,60_0.8_1460,1460,elements,34288725.0,ns,4
MinCut,karger_stein PathCompression,60_0.8_1460,1460,elements,51425827.0,ns,6
MinCut,karger_stein PathCompression,60_0.8_1460,1460,elements,68599920.0,ns,8
MinCut,karger_stein PathCompression,60_0.8_1460,1460,elements,85617831.0,ns,10
MinCut,karger_stein PathCompression,60_0.8_1460,1460,elements,102772863.0,ns,12
MinCut,karger_stein PathCompression,60_0.8_1460,1460,elements,119911716.0,ns,14
MinCut,karger_stein PathCompression,60_0.8_1460,1460,elements,137024989.0,ns,16
MinCut,karger_stein PathCompression,60_0.8_1460,1460,elements,154183581.0,ns,18
MinCut,karger_stein PathCompression,60_0.8_1460,1460,elements,171173352.0,ns,20
MinCut,karger_stein PathCompression,60_0.8_1460,1460,elements,188143182.0,ns,22
MinCut,karger_stein PathCompression,60_0.8_1460,1460,elements,205702338.0,ns,24
MinCut,karger_stein PathCompression,60_0.8_1460,1460,elements,222756968.0,ns,26
MinCut,karger_stein PathCompression,60_0.8_1460,1460,elements,239735361.0,ns,28
MinCut,karger_stein PathCompression,60_0.8_1460,1460,elements,257030968.0,ns,30
MinCut,karger_stein PathCompression,60_0.8_1460,1460,elements,274295372.0,ns,32
MinCut,karger_stein PathCompression,60_0.8_1460,1460,elements,291142567.0,ns,34
MinCut,karger_stein PathCompression,60_0.8_1460,1460,elements,308510368.0,ns,36
MinCut,karger_stein PathCompression,60_0.8_1460,1460,elements,325501996.0,ns,38
MinCut,karger_stein PathCompression,60_0.8_1460,1460,elements,342182939.0,ns,40
MinCut,karger_stein PathCompression,60_0.8_1460,1460,elements,359730222.0,ns,42
MinCut,karger_stein PathCompression,60_0.8_1460,1460,elements,377229765.0,ns,44
MinCut,karger_stein PathCompression,60_0.8_1460,1460,elements,394238737.0,ns,46
MinCut,karger_stein PathCompression,60_0.8_1460,1460,elements,410832353.0,ns,48
MinCut,karger_stein PathCompression,60_0.8_1460,1460,elements,428175228.0,ns,50
MinCut,karger_stein PathCompression,60_0.8_1460,1460,elements,445646529.0,ns,52
MinCut,karger_stein PathCompression,60_0.8_1460,1460,elements,462977579.0,ns,54
MinCut,karger_stein PathCompression,60_0.8_1460,1460,elements,480212063.0,ns,56
MinCut,karger_stein PathCompression,60_0.8_1460,1460,elements,496896813.0,ns,58
MinCut,karger_stein PathCompression,60_0.8_1460,1460,elements,514422880.0,ns,60
