group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
MinCut,karger_stein PathHalving,40_0.6_494,494,elements,11647246.0,ns,9
MinCut,karger_stein PathHalving,40_0.6_494,494,elements,23321842.0,ns,18
MinCut,karger_stein PathHalving,40_0.6_494,494,elements,34880057.0,ns,27
MinCut,karger_stein PathHalving,40_0.6_494,494,elements,46588471.0,ns,36
MinCut,karger_stein PathHalving,40_0.6_494,494,elements,58350399.0,ns,45
MinCut,karger_stein PathHalving,40_0.6_494,494,elements,69873266.0,ns,54
MinCut,karger_stein PathHalving,40_0.6_494,494,elements,81630859.0,ns,63
MinCut,karger_stein PathHalving,40_0.6_494,494,elements,93390751.0,ns,72
MinCut,karger_stein PathHalving,40_0.6_494,494,elements,104946485.0,ns,81
MinCut,karger_stein PathHalving,40_0.6_494,494,elements,116449896.0,ns,90
MinCut,karger_stein PathHalving,40_0.6_494,494,elements,128318359.0,ns,99
MinCut,karger_stein PathHalving,40_0.6_494,494,elements,139920804.0,ns,108
MinCut,karger_stein PathHalving,40_0.6_494,494,elements,151838018.0,ns,117
MinCut,karger_stein PathHalving,40_0.6_494,494,elements,163516439.0,ns,126
MinCut,karger_stein PathHalving,40_0.6_494,494,elements,175113945.0,ns,135
MinCut,karger_stein PathHalving,40_0.6_494,494,elements,186787055.0,ns,144
MinCut,karger_stein PathHalving,40_0.6_494,494,elements,198436398.0,ns,153
MinCut,karger_stein PathHalving,40_0.6_494,494,elements,210140963.0,ns,162
MinCut,karger_stein PathHalving,40_0.6_494,494,elements,221845733.0,ns,171
MinCut,karger_stein PathHalving,40_0.6_494,494,elements,233445736.0,ns,180
MinCut,karger_stein PathHalving,40_0.6_494,494,elements,245444998.0,ns,189
MinCut,karger_stein PathHalving,40_0.6_494,494,elements,256628108.0,ns,198
MinCut,karger_stein PathHalving,40_0.6_494,494,elements,268582620.0,ns,207
MinCut,karger_stein PathHalving,40_0.6_494,494,elements,280274668.0,ns,216
MinCut,karger_stein PathHalving,40_0.6_494,494,elements,292198113.0,ns,225
MinCut,karger_stein PathHalving,40_0.6_494,494,elements,303904722.0,ns,234
MinCut,karger_stein PathHalving,40_0.6_494,494,elements,315659358.0,ns,243
MinCut,karger_stein PathHalving,40_0.6_494,494,elements,327150176.0,ns,252
MinCut,karger_stein PathHalving,40_0.6_494,494,elements,338579699.0,ns,261
MinCut,karger_stein PathHalving,40_0.6_494,494,elements,350450974.0,ns,270
