group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
MinCut,karger_stein PathHalving,70_0.8_6813,6813,elements,17429196.0,ns,1
MinCut,karger_stein PathHalving,70_0.8_6813,6813,elements,34761262.0,ns,2
MinCut,karger_stein PathHalving,70_0.8_6813,6813,elements,52310828.0,ns,3
MinCut,karger_stein PathHalving,70_0.8_6813,6813,elements,69420923.0,ns,4
MinCut,karger_stein PathHalving,70_0.8_6813,6813,elements,86937419.0,ns,5
MinCut,karger_stein PathHalving,70_0.8_6813,6813,elements,104641956.0,ns,6
MinCut,karger_stein PathHalving,70_0.8_6813,6813,elements,121839371.0,ns,7
MinCut,karger_stein PathHalving,70_0.8_6813,6813,elements,139551521.0,ns,8
MinCut,karger_stein PathHalving,70_0.8_6813,6813,elements,156630709.0,ns,9
MinCut,karger_stein PathHalving,70_0.8_6813,6813,elements,174154719.0,ns,10
MinCut,karger_stein PathHalving,70_0.8_6813,6813,elements,191455383.0,ns,11
MinCut,karger_stein PathHalving,70_0.8_6813,6813,elements,208711651.0,ns,12
MinCut,karger_stein PathHalving,70_0.8_6813,6813,elements,226111152.0,ns,13
MinCut,karger_stein PathHalving,70_0.8_6813,6813,elements,243652369.0,ns,14
MinCut,karger_stein PathHalving,70_0.8_6813,6813,elements,260894729.0,ns,15
MinCut,karger_stein PathHalving,70_0.8_6813,6813,elements,278369979.0,ns,16
MinCut,karger_stein PathHalving,70_0.8_6813,6813,elements,295940435.0,ns,17
MinCut,karger_stein PathHalving,70_0.8_6813,6813,elements,313042197.0,ns,18
MinCut,karger_stein PathHalving,70_0.8_6813,6813,elements,330606385.0,ns,19
MinCut,karger_stein PathHalving,70_0.8_6813,6813,elements,348224609.0,ns,20
MinCut,karger_stein PathHalving,70_0.8_6813,6813,elements,365319249.0,ns,21
MinCut,karger_stein PathHalving,70_0.8_6813,6813,elements,383018945.0,ns,22
MinCut,karger_stein PathHalving,70_0.8_6813,6813,elements,399826109.0,ns,23
MinCut,karger_stein PathHalving,70_0.8_6813,6813,elements,416774394.0,ns,24
MinCut,karger_stein PathHalving,70_0.8_6813,6813,elements,434982799.0,ns,25
MinCut,karger_stein PathHalving,70_0.8_6813,6813,elements,452680500.0,ns,26
MinCut,karger_stein PathHalving,70_0.8_6813,6813,elements,469212717.0,ns,27
MinCut,karger_stein PathHalving,70_0.8_6813,6813,elements,486668136.0,ns,28
MinCut,karger_stein PathHalving,70_0.8_6813,6813,elements,504102954.0,ns,29
MinCut,karger_stein PathHalving,70_0.8_6813,6813,elements,522086613.0,ns,30
