group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
MinCut,karger_stein PathSplitting,60_0.8_1460,1460,elements,17871404.0,ns,1
MinCut,karger_stein PathSplitting,60_0.8_1460,1460,elements,35689050.0,ns,2
MinCut,karger_stein PathSplitting,60_0.8_1460,1460,elements,52673550.0,ns,3
MinCut,karger_stein PathSplitting,60_0.8_1460,1460,elements,70882873.0,ns,4
MinCut,karger_stein PathSplitting,60_0.8_1460,1460,elements,87599663.0,ns,5
MinCut,karger_stein PathSplitting,60_0.8_1460,1460,elements,106962265.0,ns,6
MinCut,karger_stein PathSplitting,60_0.8_1460,1460,elements,124643504.0,ns,7
MinCut,karger_stein PathSplitting,60_0.8_1460,1460,elements,141239585.0,ns,8
MinCut,karger_stein PathSplitting,60_0.8_1460,1460,elements,159728893.0,ns,9
MinCut,karger_stein PathSplitting,60_0.8_1460,1460,elements,176723092.0,ns,10
MinCut,karger_stein PathSplitting,60_0.8_1460,1460,elements,193781138.0,ns,11
MinCut,karger_stein PathSplitting,60_0.8_1460,1460,elements,211944472.0,ns,12
MinCut,karger_stein PathSplitting,60_0.8_1460,1460,elements,228824716.0,ns,13
MinCut,karger_stein PathSplitting,60_0.8_1460,1460,elements,245868128.0,ns,14
MinCut,karger_stein PathSplitting,60_0.8_1460,1460,elements,265240877.0,ns,15
MinCut,karger_stein PathSplitting,60_0.8_1460,1460,elements,281048150.0,ns,16
MinCut,karger_stein PathSplitting,60_0.8_1460,1460,elements,298323526.0,ns,17
MinCut,karger_stein PathSplitting,60_0.8_1460,1460,elements,316279894.0,ns,18
MinCut,karger_stein PathSplitting,60_0.8_1460,1460,elements,335728410.0,ns,19
MinCut,karger_stein PathSplitting,60_0.8_1460,1460,elements,353151824.0,ns,20
MinCut,karger_stein PathSplitting,60_0.8_1460,1460,elements,371544311.0,ns,21
MinCut,karger_stein PathSplitting,60_0.8_1460,1460,elements,389589445.0,ns,22
MinCut,karger_stein PathSplitting,60_0.8_1460,1460,elements,408127490.0,ns,23
MinCut,karger_stein PathSplitting,60_0.8_1460,1460,elements,422367277.0,ns,24
MinCut,karger_stein PathSplitting,60_0.8_1460,1460,elements,442592994.0,ns,25
MinCut,karger_stein PathSplitting,60_0.8_1460,1460,elements,458353855.0,ns,26
MinCut,karger_stein PathSplitting,60_0.8_1460,1460,elements,477337213.0,ns,27
MinCut,karger_stein PathSplitting,60_0.8_1460,1460,elements,492803568.0,ns,28
MinCut,karger_stein PathSplitting,60_0.8_1460,1460,elements,511380041.0,ns,29
MinCut,karger_stein PathSplitting,60_0.8_1460,1460,elements,528573344.0,ns,30
