group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
MinCut,karger_stein PathSplitting,70_0.8_1983,1983,elements,47493700.0,ns,1
MinCut,karger_stein PathSplitting,70_0.8_1983,1983,elements,95225616.0,ns,2
MinCut,karger_stein PathSplitting,70_0.8_1983,1983,elements,141583473.0,ns,3
MinCut,karger_stein PathSplitting,70_0.8_1983,1983,elements,189619682.0,ns,4
MinCut,karger_stein PathSplitting,70_0.8_1983,1983,elements,237725907.0,ns,5
MinCut,karger_stein PathSplitting,70_0.8_1983,1983,elements,286819488.0,ns,6
MinCut,karger_stein PathSplitting,70_0.8_1983,1983,elements,331885410.0,ns,7
MinCut,karger_stein PathSplitting,70_0.8_1983,1983,elements,378911459.0,ns,8
MinCut,karger_stein PathSplitting,70_0.8_1983,1983,elements,425413654.0,ns,9
MinCut,karger_stein PathSplitting,70_0.8_1983,1983,elements,471130334.0,ns,10
MinCut,karger_stein PathSplitting,70_0.8_1983,1983,elements,520174537.0,ns,11
MinCut,karger_stein PathSplitting,70_0.8_1983,1983,elements,573822965.0,ns,12
MinCut,karger_stein PathSplitting,70_0.8_1983,1983,elements,618229205.0,ns,13
MinCut,karger_stein PathSplitting,70_0.8_1983,1983,elements,665857541.0,ns,14
MinCut,karger_stein PathSplitting,70_0.8_1983,1983,elements,713663293.0,ns,15
MinCut,karger_stein PathSplitting,70_0.8_1983,1983,elements,766198594.0,ns,16
MinCut,karger_stein PathSplitting,70_0.8_1983,1983,elements,807977894.0,ns,17
MinCut,karger_stein PathSplitting,70_0.8_1983,1983,elements,859418982.0,ns,18
MinCut,karger_stein PathSplitting,70_0.8_1983,1983,elements,904577732.0,ns,19
MinCut,karger_stein PathSplitting,70_0.8_1983,1983,elements,951432313.0,ns,20
MinCut,karger_stein PathSplitting,70_0.8_1983,1983,elements,998589982.0,ns,21
MinCut,karger_stein PathSplitting,70_0.8_1983,1983,elements,1046286865.0,ns,22
MinCut,karger_stein PathSplitting,70_0.8_1983,1983,elements,1084752779.0,ns,23
MinCut,karger_stein PathSplitting,70_0.8_1983,1983,elements,1139392157.0,ns,24
MinCut,karger_stein PathSplitting,70_0.8_1983,1983,elements,1190846479.0,ns,25
MinCut,karger_stein PathSplitting,70_0.8_1983,1983,elements,1226795232.0,ns,26
MinCut,karger_stein PathSplitting,70_0.8_1983,1983,elements,1282978687.0,ns,27
MinCut,karger_stein PathSplitting,70_0.8_1983,1983,elements,1336190392.0,ns,28
MinCut,karger_stein PathSplitting,70_0.8_1983,1983,elements,1376681965.0,ns,29
MinCut,karger_stein PathSplitting,70_0.8_1983,1983,elements,1418249708.0,ns,30
