group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
MinCutCount,fast_karger_stein_count_PathCompression,30_0.8_386,386,elements,10781524.0,ns,18
MinCutCount,fast_karger_stein_count_PathCompression,30_0.8_386,386,elements,21533524.0,ns,36
MinCutCount,fast_karger_stein_count_PathCompression,30_0.8_386,386,elements,32309292.0,ns,54
MinCutCount,fast_karger_stein_count_PathCompression,30_0.8_386,386,elements,43093603.0,ns,72
MinCutCount,fast_karger_stein_count_PathCompression,30_0.8_386,386,elements,53859109.0,ns,90
MinCutCount,fast_karger_stein_count_PathCompression,30_0.8_386,386,elements,64634050.0,ns,108
MinCutCount,fast_karger_stein_count_PathCompression,30_0.8_386,386,elements,75441344.0,ns,126
MinCutCount,fast_karger_stein_count_PathCompression,30_0.8_386,386,elements,86288263.0,ns,144
MinCutCount,fast_karger_stein_count_PathCompression,30_0.8_386,386,elements,96951534.0,ns,162
MinCutCount,fast_karger_stein_count_PathCompression,30_0.8_386,386,elements,107824501.0,ns,180
MinCutCount,fast_karger_stein_count_PathCompression,30_0.8_386,386,elements,118541135.0,ns,198
MinCutCount,fast_karger_stein_count_PathCompression,30_0.8_386,386,elements,129354050.0,ns,216
MinCutCount,fast_karger_stein_count_PathCompression,30_0.8_386,386,elements,140107536.0,ns,234
MinCutCount,fast_karger_stein_count_PathCompression,30_0.8_386,386,elements,150790434.0,ns,252
MinCutCount,fast_karger_stein_count_PathCompression,30_0.8_386,386,elements,161704062.0,ns,270
MinCutCount,fast_karger_stein_count_PathCompression,30_0.8_386,386,elements,172509355.0,ns,288
MinCutCount,fast_karger_stein_count_PathCompression,30_0.8_386,386,elements,183223615.0,ns,306
MinCutCount,fast_karger_stein_count_PathCompression,30_0.8_386,386,elements,193953409.0,ns,324
MinCutCount,fast_karger_stein_count_PathCompression,30_0.8_386,386,elements,204961711.0,ns,342
MinCutCount,fast_karger_stein_count_PathCompression,30_0.8_386,386,elements,215584622.0,ns,360
MinCutCount,fast_karger_stein_count_PathCompression,30_0.8_386,386,elements,226352454.0,ns,378
MinCutCount,fast_karger_stein_count_PathCompression,30_0.8_386,386,elements,237191205.0,ns,396
MinCutCount,fast_karger_stein_count_PathCompression,30_0.8_386,386,elements,247993736.0,ns,414
MinCutCount,fast_karger_stein_count_PathCompression,30_0.8_386,386,elements,258910914.0,ns,432
MinCutCount,fast_karger_stein_count_PathCompression,30_0.8_386,386,elements,269363590.0,ns,450
MinCutCount,fast_karger_stein_count_PathCompression,30_0.8_386,386,elements,280272787.0,ns,468
MinCutCount,fast_karger_stein_count_PathCompression,30_0.8_386,386,elements,291326754.0,ns,486
MinCutCount,fast_karger_stein_count_PathCompression,30_0.8_386,386,elements,301627811.0,ns,504
MinCutCount,fast_karger_stein_count_PathCompression,30_0.8_386,386,elements,312753332.0,ns,522
MinCutCount,fast_karger_stein_count_PathCompression,30_0.8_386,386,elements,323559743.0,ns,540
