group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
MinCutCount,fast_karger_stein_count_PathCompression,70_0.6_1497,1497,elements,15203985.0,ns,1
MinCutCount,fast_karger_stein_count_PathCompression,70_0.6_1497,1497,elements,30431678.0,ns,2
MinCutCount,fast_karger_stein_count_PathCompression,70_0.6_1497,1497,elements,45588693.0,ns,3
MinCutCount,fast_karger_stein_count_PathCompression,70_0.6_1497,1497,elements,60817090.0,ns,4
MinCutCount,fast_karger_stein_count_PathCompression,70_0.6_1497,1497,elements,76122481.0,ns,5
MinCutCount,fast_karger_stein_count_PathCompression,70_0.6_1497,1497,elements,91225938.0,ns,6
MinCutCount,fast_karger_stein_count_PathCompression,70_0.6_1497,1497,elements,106410459.0,ns,7
MinCutCount,fast_karger_stein_count_PathCompression,70_0.6_1497,1497,elements,121647674.0,ns,8
MinCutCount,fast_karger_stein_count_PathCompression,70_0.6_1497,1497,elements,136710253.0,ns,9
MinCutCount,fast_karger_stein_count_PathCompression,70_0.6_1497,1497,elements,152066639.0,ns,10
MinCutCount,fast_karger_stein_count_PathCompression,70_0.6_1497,1497,elements,167634857.0,ns,11
MinCutCount,fast_karger_stein_count_PathCompression,70_0.6_1497,1497,elements,183061163.0,ns,12
MinCutCount,fast_karger_stein_count_PathCompression,70_0.6_1497,1497,elements,198070895.0,ns,13
MinCutCount,fast_karger_stein_count_PathCompression,70_0.6_1497,1497,elements,213320257.0,ns,14
MinCutCount,fast_karger_stein_count_PathCompression,70_0.6_1497,1497,elements,228514650.0,ns,15
MinCutCount,fast_karger_stein_count_PathCompression,70_0.6_1497,1497,elements,243698709.0,ns,16
MinCutCount,fast_karger_stein_count_PathCompression,70_0.6_1497,1497,elements,258699416.0,ns,17
MinCutCount,fast_karger_stein_count_PathCompression,70_0.6_1497,1497,elements,274209911.0,ns,18
MinCutCount,fast_karger_stein_count_PathCompression,70_0.6_1497,1497,elements,289674008.0,ns,19
MinCutCount,fast_karger_stein_count_PathCompression,70_0.6_1497,1497,elements,304822427.0,ns,20
MinCutCount,fast_karger_stein_count_PathCompression,70_0.6_1497,1497,elements,320213447.0,ns,21
MinCutCount,fast_karger_stein_count_PathCompression,70_0.6_1497,1497,elements,334961585.0,ns,22
MinCutCount,fast_karger_stein_count_PathCompression,70_0.6_1497,1497,elements,350443081.0,ns,23
MinCutCount,fast_karger_stein_count_PathCompression,70_0.6_1497,1497,elements,365594376.0,ns,24
MinCutCount,fast_karger_stein_count_PathCompression,70_0.6_1497,1497,elements,381270548.0,ns,25
MinCutCount,fast_karger_stein_count_PathCompression,70_0.6_1497,1497,elements,396222517.0,ns,26
MinCutCount,fast_karger_stein_count_PathCompression,70_0.6_1497,1497,elements,411426973.0,ns,27
MinCutCount,fast_karger_stein_count_PathCompression,70_0.6_1497,1497,elements,426829980.0,ns,28
MinCutCount,fast_karger_stein_count_PathCompression,70_0.6_1497,1497,elements,441732484.0,ns,29
MinCutCount,fast_karger_stein_count_PathCompression,70_0.6_1497,1497,elements,456961703.0,ns,30
