group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
MinCutCount,fast_karger_stein_count_PathHalving,40_0.8_684,684,elements,11571597.0,ns,7
MinCutCount,fast_karger_stein_count_PathHalving,40_0.8_684,684,elements,22999191.0,ns,14
MinCutCount,fast_karger_stein_count_PathHalving,40_0.8_684,684,elements,34506880.0,ns,21
MinCutCount,fast_karger_stein_count_PathHalving,40_0.8_684,684,elements,45970262.0,ns,28
MinCutCount,fast_karger_stein_count_PathHalving,40_0.8_684,684,elements,57378393.0,ns,35
MinCutCount,fast_karger_stein_count_PathHalving,40_0.8_684,684,elements,68911986.0,ns,42
MinCutCount,fast_karger_stein_count_PathHalving,40_0.8_684,684,elements,80461260.0,ns,49
MinCutCount,fast_karger_stein_count_PathHalving,40_0.8_684,684,elements,91947921.0,ns,56
MinCutCount,fast_karger_stein_count_PathHalving,40_0.8_684,684,elements,103419325.0,ns,63
MinCutCount,fast_karger_stein_count_PathHalving,40_0.8_684,684,elements,114833004.0,ns,70
MinCutCount,fast_karger_stein_count_PathHalving,40_0.8_684,684,elements,126467696.0,ns,77
MinCutCount,fast_karger_stein_count_PathHalving,40_0.8_684,684,elements,137979049.0,ns,84
MinCutCount,fast_karger_stein_count_PathHalving,40_0.8_684,684,elements,149355710.0,ns,91
MinCutCount,fast_karger_stein_count_PathHalving,40_0.8_684,684,elements,160753119.0,ns,98
MinCutCount,fast_karger_stein_count_PathHalving,40_0.8_684,684,elements,172316880.0,ns,105
MinCutCount,fast_karger_stein_count_PathHalving,40_0.8_684,684,elements,183893097.0,ns,112
MinCutCount,fast_karger_stein_count_PathHalving,40_0.8_684,684,elements,195494941.0,ns,119
MinCutCount,fast_karger_stein_count_PathHalving,40_0.8_684,684,elements,206681902.0,ns,126
MinCutCount,fast_karger_stein_count_PathHalving,40_0.8_684,684,elements,218154635.0,ns,133
MinCutCount,fast_karger_stein_count_PathHalving,40_0.8_684,684,elements,229792417.0,ns,140
MinCutCount,fast_karger_stein_count_PathHalving,40_0.8_684,684,elements,241421902.0,ns,147
MinCutCount,fast_karger_stein_count_PathHalving,40_0.8_684,684,elements,252920063.0,ns,154
MinCutCount,fast_karger_stein_count_PathHalving,40_0.8_684,684,elements,264516776.0,ns,161
MinCutCount,fast_karger_stein_count_PathHalving,40_0.8_684,684,elements,275950063.0,ns,168
MinCutCount,fast_karger_stein_count_PathHalving,40_0.8_684,684,elements,287106956.0,ns,175
MinCutCount,fast_karger_stein_count_PathHalving,40_0.8_684,684,elements,299329254.0,ns,182
MinCutCount,fast_karger_stein_count_PathHalving,40_0.8_684,684,elements,310582788.0,ns,189
MinCutCount,fast_karger_stein_count_PathHalving,40_0.8_684,684,elements,322284271.0,ns,196
MinCutCount,fast_karger_stein_count_PathHalving,40_0.8_684,684,elements,333578108.0,ns,203
MinCutCount,fast_karger_stein_count_PathHalving,40_0.8_684,684,elements,345093933.0,ns,210
