group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
MinCutCount,fast_karger_stein_count_PathHalving,60_0.8_5000,5000,elements,12623121.0,ns,2
MinCutCount,fast_karger_stein_count_PathHalving,60_0.8_5000,5000,elements,25221939.0,ns,4
MinCutCount,fast_karger_stein_count_PathHalving,60_0.8_5000,5000,elements,37894344.0,ns,6
MinCutCount,fast_karger_stein_count_PathHalving,60_0.8_5000,5000,elements,50339159.0,ns,8
MinCutCount,fast_karger_stein_count_PathHalving,60_0.8_5000,5000,elements,63053068.0,ns,10
MinCutCount,fast_karger_stein_count_PathHalving,60_0.8_5000,5000,elements,75639415.0,ns,12
MinCutCount,fast_karger_stein_count_PathHalving,60_0.8_5000,5000,elements,88389486.0,ns,14
MinCutCount,fast_karger_stein_count_PathHalving,60_0.8_5000,5000,elements,101250610.0,ns,16
MinCutCount,fast_karger_stein_count_PathHalving,60_0.8_5000,5000,elements,113681225.0,ns,18
MinCutCount,fast_karger_stein_count_PathHalving,60_0.8_5000,5000,elements,126303270.0,ns,20
MinCutCount,fast_karger_stein_count_PathHalving,60_0.8_5000,5000,elements,138800270.0,ns,22
MinCutCount,fast_karger_stein_count_PathHalving,60_0.8_5000,5000,elements,151474681.0,ns,24
MinCutCount,fast_karger_stein_count_PathHalving,60_0.8_5000,5000,elements,164531234.0,ns,26
MinCutCount,fast_karger_stein_count_PathHalving,60_0.8_5000,5000,elements,177010948.0,ns,28
MinCutCount,fast_karger_stein_count_PathHalving,60_0.8_5000,5000,elements,189377757.0,ns,30
MinCutCount,fast_karger_stein_count_PathHalving,60_0.8_5000,5000,elements,202196223.0,ns,32
MinCutCount,fast_karger_stein_count_PathHalving,60_0.8_5000,5000,elements,214585265.0,ns,34
MinCutCount,fast_karger_stein_count_PathHalving,60_0.8_5000,5000,elements,227267454.0,ns,36
MinCutCount,fast_karger_stein_count_PathHalving,60_0.8_5000,5000,elements,239663155.0,ns,38
MinCutCount,fast_karger_stein_count_PathHalving,60_0.8_5000,5000,elements,252427863.0,ns,40
MinCutCount,fast_karger_stein_count_PathHalving,60_0.8_5000,5000,elements,264981818.0,ns,42
MinCutCount,fast_karger_stein_count_PathHalving,60_0.8_5000,5000,elements,277843835.0,ns,44
MinCutCount,fast_karger_stein_count_PathHalving,60_0.8_5000,5000,elements,290145700.0,ns,46
MinCutCount,fast_karger_stein_count_PathHalving,60_0.8_5000,5000,elements,302889923.0,ns,48
MinCutCount,fast_karger_stein_count_PathHalving,60_0.8_5000,5000,elements,315262781.0,ns,50
MinCutCount,fast_karger_stein_count_PathHalving,60_0.8_5000,5000,elements,328097130.0,ns,52
MinCutCount,fast_karger_stein_count_PathHalving,60_0.8_5000,5000,elements,340742777.0,ns,54
MinCutCount,fast_karger_stein_count_PathHalving,60_0.8_5000,5000,elements,353559480.0,ns,56
MinCutCount,fast_karger_stein_count_PathHalving,60_0.8_5000,5000,elements,366069608.0,ns,58
MinCutCount,fast_karger_stein_count_PathHalving,60_0.8_5000,5000,elements,378837494.0,ns,60
