group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
MinCutCount,fast_karger_stein_count_PathSplitting,30_0.4_215,215,elements,10742310.0,ns,18
MinCutCount,fast_karger_stein_count_PathSplitting,30_0.4_215,215,elements,21451243.0,ns,36
MinCutCount,fast_karger_stein_count_PathSplitting,30_0.4_215,215,elements,32556360.0,ns,54
MinCutCount,fast_karger_stein_count_PathSplitting,30_0.4_215,215,elements,43189421.0,ns,72
MinCutCount,fast_karger_stein_count_PathSplitting,30_0.4_215,215,elements,53906800.0,ns,90
MinCutCount,fast_karger_stein_count_PathSplitting,30_0.4_215,215,elements,64823874.0,ns,108
MinCutCount,fast_karger_stein_count_PathSplitting,30_0.4_215,215,elements,75410239.0,ns,126
MinCutCount,fast_karger_stein_count_PathSplitting,30_0.4_215,215,elements,87231783.0,ns,144
MinCutCount,fast_karger_stein_count_PathSplitting,30_0.4_215,215,elements,97294687.0,ns,162
MinCutCount,fast_karger_stein_count_PathSplitting,30_0.4_215,215,elements,107721126.0,ns,180
MinCutCount,fast_karger_stein_count_PathSplitting,30_0.4_215,215,elements,118599163.0,ns,198
MinCutCount,fast_karger_stein_count_PathSplitting,30_0.4_215,215,elements,129111468.0,ns,216
MinCutCount,fast_karger_stein_count_PathSplitting,30_0.4_215,215,elements,140646012.0,ns,234
MinCutCount,fast_karger_stein_count_PathSplitting,30_0.4_215,215,elements,150709742.0,ns,252
MinCutCount,fast_karger_stein_count_PathSplitting,30_0.4_215,215,elements,161909639.0,ns,270
MinCutCount,fast_karger_stein_count_PathSplitting,30_0.4_215,215,elements,172305528.0,ns,288
MinCutCount,fast_karger_stein_count_PathSplitting,30_0.4_215,215,elements,183317901.0,ns,306
MinCutCount,fast_karger_stein_count_PathSplitting,30_0.4_215,215,elements,194201625.0,ns,324
MinCutCount,fast_karger_stein_count_PathSplitting,30_0.4_215,215,elements,205444872.0,ns,342
MinCutCount,fast_karger_stein_count_PathSplitting,30_0.4_215,215,elements,215878463.0,ns,360
MinCutCount,fast_karger_stein_count_PathSplitting,30_0.4_215,215,elements,226867334.0,ns,378
MinCutCount,fast_karger_stein_count_PathSplitting,30_0.4_215,215,elements,237593655.0,ns,396
MinCutCount,fast_karger_stein_count_PathSplitting,30_0.4_215,215,elements,248671084.0,ns,414
MinCutCount,fast_karger_stein_count_PathSplitting,30_0.4_215,215,elements,258487943.0,ns,432
MinCutCount,fast_karger_stein_count_PathSplitting,30_0.4_215,215,elements,269549840.0,ns,450
MinCutCount,fast_karger_stein_count_PathSplitting,30_0.4_215,215,elements,280457219.0,ns,468
MinCutCount,fast_karger_stein_count_PathSplitting,30_0.4_215,215,elements,291779456.0,ns,486
MinCutCount,fast_karger_stein_count_PathSplitting,30_0.4_215,215,elements,302756623.0,ns,504
MinCutCount,fast_karger_stein_count_PathSplitting,30_0.4_215,215,elements,313920668.0,ns,522
MinCutCount,fast_karger_stein_count_PathSplitting,30_0.4_215,215,elements,323700480.0,ns,540
