group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
MinCutCount,fast_karger_stein_count_PathSplitting,60_0.8_5000,5000,elements,15342159.0,ns,1
MinCutCount,fast_karger_stein_count_PathSplitting,60_0.8_5000,5000,elements,31892883.0,ns,2
MinCutCount,fast_karger_stein_count_PathSplitting,60_0.8_5000,5000,elements,47555113.0,ns,3
MinCutCount,fast_karger_stein_count_PathSplitting,60_0.8_5000,5000,elements,62550927.0,ns,4
MinCutCount,fast_karger_stein_count_PathSplitting,60_0.8_5000,5000,elements,79396000.0,ns,5
MinCutCount,fast_karger_stein_count_PathSplitting,60_0.8_5000,5000,elements,93359860.0,ns,6
MinCutCount,fast_karger_stein_count_PathSplitting,60_0.8_5000,5000,elements,109803406.0,ns,7
MinCutCount,fast_karger_stein_count_PathSplitting,60_0.8_5000,5000,elements,125993458.0,ns,8
MinCutCount,fast_karger_stein_count_PathSplitting,60_0.8_5000,5000,elements,141023344.0,ns,9
MinCutCount,fast_karger_stein_count_PathSplitting,60_0.8_5000,5000,elements,156513567.0,ns,10
MinCutCount,fast_karger_stein_count_PathSplitting,60_0.8_5000,5000,elements,171879715.0,ns,11
MinCutCount,fast_karger_stein_count_PathSplitting,60_0.8_5000,5000,elements,190440629.0,ns,12
MinCutCount,fast_karger_stein_count_PathSplitting,60_0.8_5000,5000,elements,203543059.0,ns,13
MinCutCount,fast_karger_stein_count_PathSplitting,60_0.8_5000,5000,elements,220501458.0,ns,14
MinCutCount,fast_karger_stein_count_PathSplitting,60_0.8_5000,5000,elements,234963194.0,ns,15
MinCutCount,fast_karger_stein_count_PathSplitting,60_0.8_5000,5000,elements,249583114.0,ns,16
MinCutCount,fast_karger_stein_count_PathSplitting,60_0.8_5000,5000,elements,267316954.0,ns,17
MinCutCount,fast_karger_stein_count_PathSplitting,60_0.8_5000,5000,elements,280891529.0,ns,18
MinCutCount,fast_karger_stein_count_PathSplitting,60_0.8_5000,5000,elements,297610399.0,ns,19
MinCutCount,fast_karger_stein_count_PathSplitting,60_0.8_5000,5000,elements,312663589.0,ns,20
MinCutCount,fast_karger_stein_count_PathSplitting,60_0.8_5000,5000,elements,327819783.0,ns,21
MinCutCount,fast_karger_stein_count_PathSplitting,60_0.8_5000,5000,elements,345403259.0,ns,22
MinCutCount,fast_karger_stein_count_PathSplitting,60_0.8_5000,5000,elements,358908178.0,ns,23
MinCutCount,fast_karger_stein_count_PathSplitting,60_0.8_5000,5000,elements,375382180.0,ns,24
MinCutCount,fast_karger_stein_count_PathSplitting,60_0.8_5000,5000,elements,392492899.0,ns,25
MinCutCount,fast_karger_stein_count_PathSplitting,60_0.8_5000,5000,elements,410207218.0,ns,26
MinCutCount,fast_karger_stein_count_PathSplitting,60_0.8_5000,5000,elements,427494681.0,ns,27
MinCutCount,fast_karger_stein_count_PathSplitting,60_0.8_5000,5000,elements,437847040.0,ns,28
MinCutCount,fast_karger_stein_count_PathSplitting,60_0.8_5000,5000,elements,453178481.0,ns,29
MinCutCount,fast_karger_stein_count_PathSplitting,60_0.8_5000,5000,elements,470395978.0,ns,30
