group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
MinCutCount,karger_stein_count_PathCompression,30_0.8_386,386,elements,10813761.0,ns,18
MinCutCount,karger_stein_count_PathCompression,30_0.8_386,386,elements,21349831.0,ns,36
MinCutCount,karger_stein_count_PathCompression,30_0.8_386,386,elements,32031493.0,ns,54
MinCutCount,karger_stein_count_PathCompression,30_0.8_386,386,elements,42715600.0,ns,72
MinCutCount,karger_stein_count_PathCompression,30_0.8_386,386,elements,53400716.0,ns,90
MinCutCount,karger_stein_count_PathCompression,30_0.8_386,386,elements,64094175.0,ns,108
MinCutCount,karger_stein_count_PathCompression,30_0.8_386,386,elements,74806328.0,ns,126
MinCutCount,karger_stein_count_PathCompression,30_0.8_386,386,elements,85551752.0,ns,144
MinCutCount,karger_stein_count_PathCompression,30_0.8_386,386,elements,96134094.0,ns,162
MinCutCount,karger_stein_count_PathCompression,30_0.8_386,386,elements,106921382.0,ns,180
MinCutCount,karger_stein_count_PathCompression,30_0.8_386,386,elements,117526665.0,ns,198
MinCutCount,karger_stein_count_PathCompression,30_0.8_386,386,elements,128266874.0,ns,216
MinCutCount,karger_stein_count_PathCompression,30_0.8_386,386,elements,138915831.0,ns,234
MinCutCount,karger_stein_count_PathCompression,30_0.8_386,386,elements,149534602.0,ns,252
MinCutCount,karger_stein_count_PathCompression,30_0.8_386,386,elements,160219305.0,ns,270
MinCutCount,karger_stein_count_PathCompression,30_0.8_386,386,elements,170929163.0,ns,288
MinCutCount,karger_stein_count_PathCompression,30_0.8_386,386,elements,181504860.0,ns,306
MinCutCount,karger_stein_count_PathCompression,30_0.8_386,386,elements,192201363.0,ns,324
MinCutCount,karger_stein_count_PathCompression,30_0.8_386,386,elements,203024172.0,ns,342
MinCutCount,karger_stein_count_PathCompression,30_0.8_386,386,elements,213509085.0,ns,360
MinCutCount,karger_stein_count_PathCompression,30_0.8_386,386,elements,224456098.0,ns,378
MinCutCount,karger_stein_count_PathCompression,30_0.8_386,386,elements,235081882.0,ns,396
MinCutCount,karger_stein_count_PathCompression,30_0.8_386,386,elements,245780973.0,ns,414
MinCutCount,karger_stein_count_PathCompression,30_0.8_386,386,elements,256382017.0,ns,432
MinCutCount,karger_stein_count_PathCompression,30_0.8_386,386,elements,266914918.0,ns,450
MinCutCount,karger_stein_count_PathCompression,30_0.8_386,386,elements,277830514.0,ns,468
MinCutCount,karger_stein_count_PathCompression,30_0.8_386,386,elements,288576601.0,ns,486
MinCutCount,karger_stein_count_PathCompression,30_0.8_386,386,elements,299129694.0,ns,504
MinCutCount,karger_stein_count_PathCompression,30_0.8_386,386,elements,309955499.0,ns,522
MinCutCount,karger_stein_count_PathCompression,30_0.8_386,386,elements,320360458.0,ns,540
