group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
MinCutCount,karger_stein_count_PathCompression,50_0.8_3465,3465,elements,15633611.0,ns,3
MinCutCount,karger_stein_count_PathCompression,50_0.8_3465,3465,elements,31091810.0,ns,6
MinCutCount,karger_stein_count_PathCompression,50_0.8_3465,3465,elements,46614673.0,ns,9
MinCutCount,karger_stein_count_PathCompression,50_0.8_3465,3465,elements,62213157.0,ns,12
MinCutCount,karger_stein_count_PathCompression,50_0.8_3465,3465,elements,77656724.0,ns,15
MinCutCount,karger_stein_count_PathCompression,50_0.8_3465,3465,elements,93178254.0,ns,18
MinCutCount,karger_stein_count_PathCompression,50_0.8_3465,3465,elements,108746751.0,ns,21
MinCutCount,karger_stein_count_PathCompression,50_0.8_3465,3465,elements,124236482.0,ns,24
MinCutCount,karger_stein_count_PathCompression,50_0.8_3465,3465,elements,139874008.0,ns,27
MinCutCount,karger_stein_count_PathCompression,50_0.8_3465,3465,elements,155382441.0,ns,30
MinCutCount,karger_stein_count_PathCompression,50_0.8_3465,3465,elements,171033422.0,ns,33
MinCutCount,karger_stein_count_PathCompression,50_0.8_3465,3465,elements,186351731.0,ns,36
MinCutCount,karger_stein_count_PathCompression,50_0.8_3465,3465,elements,201989938.0,ns,39
MinCutCount,karger_stein_count_PathCompression,50_0.8_3465,3465,elements,217492779.0,ns,42
MinCutCount,karger_stein_count_PathCompression,50_0.8_3465,3465,elements,233343920.0,ns,45
MinCutCount,karger_stein_count_PathCompression,50_0.8_3465,3465,elements,248758433.0,ns,48
MinCutCount,karger_stein_count_PathCompression,50_0.8_3465,3465,elements,264054969.0,ns,51
MinCutCount,karger_stein_count_PathCompression,50_0.8_3465,3465,elements,279389762.0,ns,54
MinCutCount,karger_stein_count_PathCompression,50_0.8_3465,3465,elements,295161093.0,ns,57
MinCutCount,karger_stein_count_PathCompression,50_0.8_3465,3465,elements,310797620.0,ns,60
MinCutCount,karger_stein_count_PathCompression,50_0.8_3465,3465,elements,326122197.0,ns,63
MinCutCount,karger_stein_count_PathCompression,50_0.8_3465,3465,elements,341602455.0,ns,66
MinCutCount,karger_stein_count_PathCompression,50_0.8_3465,3465,elements,357311741.0,ns,69
MinCutCount,karger_stein_count_PathCompression,50_0.8_3465,3465,elements,372805593.0,ns,72
MinCutCount,karger_stein_count_PathCompression,50_0.8_3465,3465,elements,388372943.0,ns,75
MinCutCount,karger_stein_count_PathCompression,50_0.8_3465,3465,elements,404077577.0,ns,78
MinCutCount,karger_stein_count_PathCompression,50_0.8_3465,3465,elements,419598400.0,ns,81
MinCutCount,karger_stein_count_PathCompression,50_0.8_3465,3465,elements,435139488.0,ns,84
MinCutCount,karger_stein_count_PathCompression,50_0.8_3465,3465,elements,450682497.0,ns,87
MinCutCount,karger_stein_count_PathCompression,50_0.8_3465,3465,elements,466069442.0,ns,90
