group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
MinCutCount,karger_stein_count_PathHalving,30_0.8_386,386,elements,10943862.0,ns,23
MinCutCount,karger_stein_count_PathHalving,30_0.8_386,386,elements,21886003.0,ns,46
MinCutCount,karger_stein_count_PathHalving,30_0.8_386,386,elements,32833928.0,ns,69
MinCutCount,karger_stein_count_PathHalving,30_0.8_386,386,elements,43837412.0,ns,92
MinCutCount,karger_stein_count_PathHalving,30_0.8_386,386,elements,54710361.0,ns,115
MinCutCount,karger_stein_count_PathHalving,30_0.8_386,386,elements,65635945.0,ns,138
MinCutCount,karger_stein_count_PathHalving,30_0.8_386,386,elements,76666984.0,ns,161
MinCutCount,karger_stein_count_PathHalving,30_0.8_386,386,elements,87483136.0,ns,184
MinCutCount,karger_stein_count_PathHalving,30_0.8_386,386,elements,98492896.0,ns,207
MinCutCount,karger_stein_count_PathHalving,30_0.8_386,386,elements,109328425.0,ns,230
MinCutCount,karger_stein_count_PathHalving,30_0.8_386,386,elements,120505643.0,ns,253
MinCutCount,karger_stein_count_PathHalving,30_0.8_386,386,elements,131306539.0,ns,276
MinCutCount,karger_stein_count_PathHalving,30_0.8_386,386,elements,142366773.0,ns,299
MinCutCount,karger_stein_count_PathHalving,30_0.8_386,386,elements,153247533.0,ns,322
MinCutCount,karger_stein_count_PathHalving,30_0.8_386,386,elements,164282725.0,ns,345
MinCutCount,karger_stein_count_PathHalving,30_0.8_386,386,elements,175139040.0,ns,368
MinCutCount,karger_stein_count_PathHalving,30_0.8_386,386,elements,185989995.0,ns,391
MinCutCount,karger_stein_count_PathHalving,30_0.8_386,386,elements,197078021.0,ns,414
MinCutCount,karger_stein_count_PathHalving,30_0.8_386,386,elements,208047899.0,ns,437
MinCutCount,karger_stein_count_PathHalving,30_0.8_386,386,elements,218871398.0,ns,460
MinCutCount,karger_stein_count_PathHalving,30_0.8_386,386,elements,229874203.0,ns,483
MinCutCount,karger_stein_count_PathHalving,30_0.8_386,386,elements,241066418.0,ns,506
MinCutCount,karger_stein_count_PathHalving,30_0.8_386,386,elements,251940299.0,ns,529
MinCutCount,karger_stein_count_PathHalving,30_0.8_386,386,elements,262766929.0,ns,552
MinCutCount,karger_stein_count_PathHalving,30_0.8_386,386,elements,273984877.0,ns,575
MinCutCount,karger_stein_count_PathHalving,30_0.8_386,386,elements,284671876.0,ns,598
MinCutCount,karger_stein_count_PathHalving,30_0.8_386,386,elements,295687362.0,ns,621
MinCutCount,karger_stein_count_PathHalving,30_0.8_386,386,elements,306824422.0,ns,644
MinCutCount,karger_stein_count_PathHalving,30_0.8_386,386,elements,317526926.0,ns,667
MinCutCount,karger_stein_count_PathHalving,30_0.8_386,386,elements,328680742.0,ns,690
