group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
MinCutCount,karger_stein_count_PathHalving,60_0.8_5000,5000,elements,11974583.0,ns,2
MinCutCount,karger_stein_count_PathHalving,60_0.8_5000,5000,elements,23880756.0,ns,4
MinCutCount,karger_stein_count_PathHalving,60_0.8_5000,5000,elements,35841390.0,ns,6
MinCutCount,karger_stein_count_PathHalving,60_0.8_5000,5000,elements,47858800.0,ns,8
MinCutCount,karger_stein_count_PathHalving,60_0.8_5000,5000,elements,59782163.0,ns,10
MinCutCount,karger_stein_count_PathHalving,60_0.8_5000,5000,elements,71827725.0,ns,12
MinCutCount,karger_stein_count_PathHalving,60_0.8_5000,5000,elements,83836520.0,ns,14
MinCutCount,karger_stein_count_PathHalving,60_0.8_5000,5000,elements,95657945.0,ns,16
MinCutCount,karger_stein_count_PathHalving,60_0.8_5000,5000,elements,107798404.0,ns,18
MinCutCount,karger_stein_count_PathHalving,60_0.8_5000,5000,elements,119620250.0,ns,20
MinCutCount,karger_stein_count_PathHalving,60_0.8_5000,5000,elements,131570838.0,ns,22
MinCutCount,karger_stein_count_PathHalving,60_0.8_5000,5000,elements,143838432.0,ns,24
MinCutCount,karger_stein_count_PathHalving,60_0.8_5000,5000,elements,155506785.0,ns,26
MinCutCount,karger_stein_count_PathHalving,60_0.8_5000,5000,elements,167723881.0,ns,28
MinCutCount,karger_stein_count_PathHalving,60_0.8_5000,5000,elements,179449452.0,ns,30
MinCutCount,karger_stein_count_PathHalving,60_0.8_5000,5000,elements,191506940.0,ns,32
MinCutCount,karger_stein_count_PathHalving,60_0.8_5000,5000,elements,203597545.0,ns,34
MinCutCount,karger_stein_count_PathHalving,60_0.8_5000,5000,elements,215343144.0,ns,36
MinCutCount,karger_stein_count_PathHalving,60_0.8_5000,5000,elements,227471157.0,ns,38
MinCutCount,karger_stein_count_PathHalving,60_0.8_5000,5000,elements,239311645.0,ns,40
MinCutCount,karger_stein_count_PathHalving,60_0.8_5000,5000,elements,251263252.0,ns,42
MinCutCount,karger_stein_count_PathHalving,60_0.8_5000,5000,elements,263114142.0,ns,44
MinCutCount,karger_stein_count_PathHalving,60_0.8_5000,5000,elements,275036719.0,ns,46
MinCutCount,karger_stein_count_PathHalving,60_0.8_5000,5000,elements,287003836.0,ns,48
MinCutCount,karger_stein_count_PathHalving,60_0.8_5000,5000,elements,299246590.0,ns,50
MinCutCount,karger_stein_count_PathHalving,60_0.8_5000,5000,elements,311349251.0,ns,52
MinCutCount,karger_stein_count_PathHalving,60_0.8_5000,5000,elements,323017686.0,ns,54
MinCutCount,karger_stein_count_PathHalving,60_0.8_5000,5000,elements,335028604.0,ns,56
MinCutCount,karger_stein_count_PathHalving,60_0.8_5000,5000,elements,346875415.0,ns,58
MinCutCount,karger_stein_count_PathHalving,60_0.8_5000,5000,elements,358896139.0,ns,60
