group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
MinCutCount,karger_stein_count_PathSplitting,20_0.6_512,512,elements,10585116.0,ns,59
MinCutCount,karger_stein_count_PathSplitting,20_0.6_512,512,elements,21161692.0,ns,118
MinCutCount,karger_stein_count_PathSplitting,20_0.6_512,512,elements,31690727.0,ns,177
MinCutCount,karger_stein_count_PathSplitting,20_0.6_512,512,elements,42109599.0,ns,236
MinCutCount,karger_stein_count_PathSplitting,20_0.6_512,512,elements,52672785.0,ns,295
MinCutCount,karger_stein_count_PathSplitting,20_0.6_512,512,elements,63249436.0,ns,354
MinCutCount,karger_stein_count_PathSplitting,20_0.6_512,512,elements,73823158.0,ns,413
MinCutCount,karger_stein_count_PathSplitting,20_0.6_512,512,elements,84456107.0,ns,472
MinCutCount,karger_stein_count_PathSplitting,20_0.6_512,512,elements,94928540.0,ns,531
MinCutCount,karger_stein_count_PathSplitting,20_0.6_512,512,elements,105165885.0,ns,590
MinCutCount,karger_stein_count_PathSplitting,20_0.6_512,512,elements,115802640.0,ns,649
MinCutCount,karger_stein_count_PathSplitting,20_0.6_512,512,elements,126331142.0,ns,708
MinCutCount,karger_stein_count_PathSplitting,20_0.6_512,512,elements,137230391.0,ns,767
MinCutCount,karger_stein_count_PathSplitting,20_0.6_512,512,elements,147555403.0,ns,826
MinCutCount,karger_stein_count_PathSplitting,20_0.6_512,512,elements,157939888.0,ns,885
MinCutCount,karger_stein_count_PathSplitting,20_0.6_512,512,elements,168435855.0,ns,944
MinCutCount,karger_stein_count_PathSplitting,20_0.6_512,512,elements,179267736.0,ns,1003
MinCutCount,karger_stein_count_PathSplitting,20_0.6_512,512,elements,189985712.0,ns,1062
MinCutCount,karger_stein_count_PathSplitting,20_0.6_512,512,elements,200704142.0,ns,1121
MinCutCount,karger_stein_count_PathSplitting,20_0.6_512,512,elements,210829941.0,ns,1180
MinCutCount,karger_stein_count_PathSplitting,20_0.6_512,512,elements,221521136.0,ns,1239
MinCutCount,karger_stein_count_PathSplitting,20_0.6_512,512,elements,232146699.0,ns,1298
MinCutCount,karger_stein_count_PathSplitting,20_0.6_512,512,elements,241957877.0,ns,1357
MinCutCount,karger_stein_count_PathSplitting,20_0.6_512,512,elements,253208908.0,ns,1416
MinCutCount,karger_stein_count_PathSplitting,20_0.6_512,512,elements,263521294.0,ns,1475
MinCutCount,karger_stein_count_PathSplitting,20_0.6_512,512,elements,274313301.0,ns,1534
MinCutCount,karger_stein_count_PathSplitting,20_0.6_512,512,elements,284253052.0,ns,1593
MinCutCount,karger_stein_count_PathSplitting,20_0.6_512,512,elements,294923439.0,ns,1652
MinCutCount,karger_stein_count_PathSplitting,20_0.6_512,512,elements,305964230.0,ns,1711
MinCutCount,karger_stein_count_PathSplitting,20_0.6_512,512,elements,316136909.0,ns,1770
