group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
MinCutCount,karger_stein_count_PathSplitting,70_0.6_1497,1497,elements,31588216.0,ns,1
MinCutCount,karger_stein_count_PathSplitting,70_0.6_1497,1497,elements,62582516.0,ns,2
MinCutCount,karger_stein_count_PathSplitting,70_0.6_1497,1497,elements,93578401.0,ns,3
MinCutCount,karger_stein_count_PathSplitting,70_0.6_1497,1497,elements,124963583.0,ns,4
MinCutCount,karger_stein_count_PathSplitting,70_0.6_1497,1497,elements,155480362.0,ns,5
MinCutCount,karger_stein_count_PathSplitting,70_0.6_1497,1497,elements,188152705.0,ns,6
MinCutCount,karger_stein_count_PathSplitting,70_0.6_1497,1497,elements,220229819.0,ns,7
MinCutCount,karger_stein_count_PathSplitting,70_0.6_1497,1497,elements,249299731.0,ns,8
MinCutCount,karger_stein_count_PathSplitting,70_0.6_1497,1497,elements,287407985.0,ns,9
MinCutCount,karger_stein_count_PathSplitting,70_0.6_1497,1497,elements,315847102.0,ns,10
MinCutCount,karger_stein_count_PathSplitting,70_0.6_1497,1497,elements,345820819.0,ns,11
MinCutCount,karger_stein_count_PathSplitting,70_0.6_1497,1497,elements,378133559.0,ns,12
MinCutCount,karger_stein_count_PathSplitting,70_0.6_1497,1497,elements,406027297.0,ns,13
MinCutCount,karger_stein_count_PathSplitting,70_0.6_1497,1497,elements,441933428.0,ns,14
MinCutCount,karger_stein_count_PathSplitting,70_0.6_1497,1497,elements,473640506.0,ns,15
MinCutCount,karger_stein_count_PathSplitting,70_0.6_1497,1497,elements,507030191.0,ns,16
MinCutCount,karger_stein_count_PathSplitting,70_0.6_1497,1497,elements,538786576.0,ns,17
MinCutCount,karger_stein_count_PathSplitting,70_0.6_1497,1497,elements,568456909.0,ns,18
MinCutCount,karger_stein_count_PathSplitting,70_0.6_1497,1497,elements,596498604.0,ns,19
MinCutCount,karger_stein_count_PathSplitting,70_0.6_1497,1497,elements,630690162.0,ns,20
MinCutCount,karger_stein_count_PathSplitting,70_0.6_1497,1497,elements,659726082.0,ns,21
MinCutCount,karger_stein_count_PathSplitting,70_0.6_1497,1497,elements,689800616.0,ns,22
MinCutCount,karger_stein_count_PathSplitting,70_0.6_1497,1497,elements,725871268.0,ns,23
MinCutCount,karger_stein_count_PathSplitting,70_0.6_1497,1497,elements,752761234.0,ns,24
MinCutCount,karger_stein_count_PathSplitting,70_0.6_1497,1497,elements,784604729.0,ns,25
MinCutCount,karger_stein_count_PathSplitting,70_0.6_1497,1497,elements,818166150.0,ns,26
MinCutCount,karger_stein_count_PathSplitting,70_0.6_1497,1497,elements,846349024.0,ns,27
MinCutCount,karger_stein_count_PathSplitting,70_0.6_1497,1497,elements,885029166.0,ns,28
MinCutCount,karger_stein_count_PathSplitting,70_0.6_1497,1497,elements,916559526.0,ns,29
MinCutCount,karger_stein_count_PathSplitting,70_0.6_1497,1497,elements,938493233.0,ns,30
